StopId,Name,Latitude,Longitude,ScheduledTime
55422,Hesperian Blvd & W Tennyson Rd,37.6304265,-122.09658399999999,NA
54055,Hesperian Blvd & W Winton Av,37.6524724,-122.1100889,NA
52332,Hesperian Blvd & West St,37.6483323,-122.1072176,NA
55739,Huntwood Av & Celia St,37.6303488,-122.0624351,NA
55791,Huntwood Av & Celia St,37.6304212,-122.0622087,NA
51610,Huntwood Av & Crocker Av,37.6170821,-122.0548594,NA
51910,Huntwood Av & Crocker Av,37.6174217,-122.0546936,NA
55982,Huntwood Av & Folsom Av,37.62643,-122.0606143,NA
51733,Huntwood Av & Folsom Av,37.6268002,-122.0605335,NA
52510,Huntwood Av & Harris Rd,37.6363991,-122.0669405,NA
51440,Huntwood Av & Industrial Pkwy,37.6212319,-122.0564861,NA
55792,Huntwood Av & New England Village Dr,37.6236304,-122.0593123,NA
57781,Huntwood Av & Olympic Av,37.6239442,-122.0592123,NA
59120,Huntwood Av & Salmon Way,37.609719,-122.054978,NA
59230,Huntwood Av & Salmon Way,37.6103104,-122.0546976,NA
53510,Huntwood Av & San Luis Obispo Av,37.607573,-122.054931,NA
55793,Huntwood Av & San Luis Obispo Av,37.6083973,-122.0547267,NA
53392,Huntwood Av & Sandoval Way,37.621031,-122.055877,NA
54556,Huntwood Av & W Tennyson Rd,37.6332122,-122.0649167,NA
59510,Huntwood Av & Zephyr Av,37.6111069,-122.0549412,NA
55796,Huntwood Av & Zephyr Av,37.6119793,-122.0546951,NA
59767,25800 Industrial Blvd,37.6346201,-122.1123906,NA
53396,25861 Industrial Blvd,37.6345806,-122.1126601,NA
51878,Industrial Blvd & Depot Rd,37.6378358,-122.1165776,NA
52860,Industrial Blvd & Fwy Entrance,37.6334113,-122.110987,NA
52895,Industrial Pkwy & Huntwood Av,37.6213606,-122.0575995,NA
52878,Industrial Pkwy & Industrial Pkwy Sw,37.6180173,-122.0623771,NA
52945,Industrial Pkwy & Ruus Rd,37.618205,-122.062674,NA
51988,Industrial Pkwy & Stratford Rd,37.6173755,-122.0694223,NA
56457,20201 Mack St (Opp. Ac Transit Training Center),37.654799,-122.133991,NA
56321,20234 Mack St (AC Transit Training Center),37.6547644,-122.1338375,NA
57782,20303 Mack St,37.654225,-122.132188,NA
51776,Mack St & Div 6 Yard,37.6543596,-122.1320744,NA
53034,Mack St & Sabre St,37.6563407,-122.1338389,NA
51310,Mack St & Sabre St,37.6564202,-122.1340022,NA
55445,Mack St & W Winton Av,37.653297,-122.1308065,NA
50870,Mack St & W Winton Av,37.6531473,-122.1309835,NA
55930,Manon Av & Harris Rd,37.6361693,-122.0691511,NA
55960,Manon Av & Schafer Rd,37.6409743,-122.0737957,NA
55907,Manon Av & Schafer Rd,37.6408226,-122.0739381,NA
57783,Manon Av & Shepherd Av,37.6382211,-122.0715125,NA
55983,Manon Av & Shepherd Av,37.6383837,-122.071863,NA
56750,Meek Av & Jackson St,37.6643333,-122.0835746,NA
58750,26395 Mission Blvd,37.6483265,-122.0649203,NA
53352,Mission Blvd & Alquire Pkwy,37.6300971,-122.0471706,NA
55690,Mission Blvd & Arrowhead Way,37.6250888,-122.0418397,NA
56353,Mission Blvd & Arrowhead Way,37.6258183,-122.0423225,NA
59220,Mission Blvd & Berry Av,37.6573365,-122.0719227,NA
57786,Mission Blvd & Blanche St,37.615126,-122.0300047,NA
57553,Mission Blvd & Blanche St,37.6142799,-122.02949,NA
59330,Mission Blvd & Calhoun St,37.6422743,-122.0597489,NA
53359,Mission Blvd & Fairway St,37.6226097,-122.0385814,NA
52776,Mission Blvd & Fairway St,37.621856,-122.0381557,NA
56959,Mission Blvd & Garin Av,37.6275098,-122.0442443,NA
53200,Mission Blvd & Grace St,37.6749875,-122.0872452,NA
56345,Mission Blvd & Grace St,37.6749088,-122.0874485,NA
59598,Mission Blvd & Gresel St,37.6183071,-122.0340885,NA
58760,Mission Blvd & Hancock St,37.6388797,-122.057262,NA
59009,Mission Blvd & Harder Rd,37.6517715,-122.0672807,NA
53443,Mission Blvd & Highland Blvd,37.6639475,-122.0766588,NA
52188,Mission Blvd & Jackson St,37.66824,-122.080609,NA
51799,Mission Blvd & Jefferson St,37.6425117,-122.0602967,NA
56536,Mission Blvd & Pinedale Ct,37.6655639,-122.0783488,NA
54994,Mission Blvd & Sorenson Rd,37.6461244,-122.0631309,NA
56559,Mission Blvd & Sorenson Rd,37.6467324,-122.0632702,NA
52711,Mission Blvd & Sunset Blvd,37.6778163,-122.090728,NA
56562,Mission Blvd & Sunset Blvd,37.6776899,-122.0908812,NA
52521,Mission Blvd & Sycamore Av,37.6629075,-122.0761866,NA
53045,Mission Blvd & Tennyson Rd,37.6369255,-122.0552617,NA
58001,Mission Blvd & Tennyson Rd,37.6368464,-122.0546629,NA
56743,Mission Blvd & Valle Vista Av,37.6333635,-122.0513566,NA
59943,Mission Blvd & Valle Vista Av,37.633872,-122.0515101,NA
59569,Patrick Av & Roosevelt Av,37.6337677,-122.0792588,NA
50120,Patrick Av & Roosevelt Av,37.6336559,-122.0795229,NA
53532,Patrick Av & W Tennyson Rd,37.6317484,-122.0793221,NA
53645,1310 Ruus Ln (Near Ruus Rd),37.621171,-122.0650694,NA
58789,Ruus Ln & Ruus Rd,37.6213203,-122.0645426,NA
55927,Ruus Ln & Stratford Rd (Georgian Manor West Gate),37.6207343,-122.0697817,NA
53680,Ruus Ln & Stratford Rd (Opp.Georgian Manor W.Gate),37.6206138,-122.0696141,NA
55937,Ruus Rd & Folsom Av,37.6250887,-122.0658519,NA
53820,Ruus Rd & Thiel Rd,37.6241276,-122.0652681,NA
51070,Ruus Rd & Thiel Rd,37.624347,-122.0655323,NA
53470,1809 Sabre St,37.6566125,-122.1317489,NA
52869,Sabre St & Corsair Blvd,37.6563375,-122.125326,NA
55971,Sabre St & Corsair Blvd,37.6561773,-122.1252563,NA
57055,Sabre St & Div 6 Gate,37.6564861,-122.1300293,NA
57732,Sabre St & Div 6 Gate,37.6566423,-122.1298559,NA
53450,Santa Clara St & Ocie Way,37.6591636,-122.1003297,NA
56470,Santa Clara St & Ocie Way,37.6592565,-122.1007234,NA
58112,Santa Clara St & Redbud Ln,37.6622699,-122.101989,NA
51080,Santa Clara St & Redbud Ln,37.6624606,-122.1022064,NA
51410,Santa Clara St & Santa Clara Way,37.6655824,-122.1022922,NA
59660,Santa Clara St & W A St,37.6661163,-122.1034162,NA
55670,Schafer Rd & Gading Rd (Glassbrook School),37.640932,-122.0809063,NA
59981,Schafer Rd & Gading Rd (Glassbrook School),37.6408171,-122.080719,NA
53595,Schafer Rd & Sunvale Ct,37.640992,-122.077089,NA
59982,Schafer Rd & Tyrrell Av,37.6408695,-122.076775,NA
54356,Silva Av & Jackson St,37.6643036,-122.0825987,NA
57340,Silva Av & Leighton St,37.662613,-122.0814875,NA
50210,Silva Av & Thomas Av,37.6620705,-122.081211,NA
55116,South Hayward BART,37.6346957,-122.0569386,NA
55404,South Hayward BART,37.6345559,-122.056834,NA
56677,South Hayward BART,37.6343891,-122.0567046,NA
52345,South Hayward BART,37.6347622,-122.0568088,NA
57400,South Hayward BART,37.634624,-122.0566969,NA
54433,Southland Dr & California Bank (Southland Mall),37.6518748,-122.1050592,NA
59965,Southland Dr & California Bank  (Southland Mall),37.6520188,-122.1052571,NA
53635,Southland Dr & La Playa Dr,37.654179,-122.1048543,NA
54215,Stratford Rd & Cantebury Ln,37.6195882,-122.0701518,NA
50320,Stratford Rd & Pacheco Way,37.6180611,-122.0699438,NA
50223,Stratford Rd & Welford Ln,37.6188626,-122.0702052,NA
51020,Sycamore Av & Silva Av,37.6614846,-122.0804729,NA
51030,Tampa Av & Sumatra St,37.6278631,-122.0755951,NA
54651,Tampa Av & Sumatra St,37.627484,-122.0754256,NA
57866,Tampa Av & W Tennyson Rd,37.6307885,-122.0758866,NA
59986,Tennyson Rd & Leidig Ct,37.6344835,-122.0632227,NA
53991,Tennyson Rd & Oharran Dr,37.6351544,-122.0606219,NA
54988,Tennyson Rd & Whitman St,37.6353282,-122.0611997,NA
54652,Underwood Av & Cascade St,37.641636,-122.0835666,NA
53992,Underwood Av & Cascade St,37.6413193,-122.0834224,NA
53996,Underwood Av & Inglewood St,37.6396936,-122.0835632,NA
53935,Underwood Av & Inglewood St,37.6394373,-122.0834183,NA
50887,Hesperian Blvd & Eden Park Pl,37.6130255,-122.0855345,NA
58874,W A St & Hesperian Blvd,37.6656577,-122.1170392,NA
53363,W A St & Royal Av,37.6658947,-122.1128233,NA
53357,W A St & Victory Dr,37.6660184,-122.1105399,NA
51060,W Tennyson Rd & Bahama Av,37.6287786,-122.1018857,NA
54653,W Tennyson Rd & Bahama Av,37.6289023,-122.1021473,NA
51002,W Tennyson Rd & Baldwin St,37.6327708,-122.0670406,NA
51090,W Tennyson Rd & Baldwin St,37.6325963,-122.0667697,NA
52299,W Tennyson Rd & Calaroga Av (St. Rose Hospital),37.6315115,-122.0892494,NA
52001,W Tennyson Rd & Calaroga Av (St. Rose Hospital),37.6318094,-122.0903105,NA
58458,W Tennyson Rd & Dickens Av,37.6312139,-122.0737808,NA
59119,W Tennyson Rd & Dickens Av,37.6314212,-122.0742216,NA
52444,W Tennyson Rd & Hesperian Blvd (Kaiser Hospital),37.6309999,-122.0960618,NA
55671,W Tennyson Rd & Hesperian Blvd,37.6307049,-122.0975503,NA
57676,W Tennyson Rd & Huntwood Av,37.6334993,-122.0653869,NA
55672,W Tennyson Rd & Lustig Ct,37.6337892,-122.0641209,NA
56645,W Tennyson Rd & Pompano Av,37.6314899,-122.0778505,NA
56651,W Tennyson Rd & Pompano Av,37.6312124,-122.0772116,NA
59960,W Tennyson Rd & Portsmouth Av,37.6270832,-122.1047892,NA
53234,W Tennyson Rd & Portsmouth Av,37.6271343,-122.1050977,NA
56595,W Tennyson Rd & Ruus Rd,37.6317946,-122.0695979,NA
57002,W Tennyson Rd & Ruus Rd,37.6318154,-122.0685587,NA
55199,W Winton Av & Amador St,37.6586851,-122.095875,NA
52733,W Winton Av & Cabot Blvd,37.6526303,-122.1381293,NA
52710,W Winton Av & Corsair Blvd,37.6531504,-122.1242288,NA
57003,W Winton Av & Corsair Blvd,37.652949,-122.1240253,NA
53223,W Winton Av & D St,37.6620193,-122.0875418,NA
55225,W Winton Av & Edloe Dr (County Building),37.6584556,-122.0958869,NA
56635,W Winton Av & Park St,37.6616812,-122.0882908,NA
50558,W Winton Av & Saklan Rd,37.6530046,-122.1177442,NA
50880,W Winton Av & Santa Clara St,37.6578801,-122.0980041,NA
56866,W Winton Av & Santa Clara St,37.6577531,-122.097748,NA
56330,W Winton Av & Wright Dr,37.6537791,-122.1087171,NA
55673,W Winton Av & Wright Dr,37.6533541,-122.1091506,NA
58777,West Loop Rd & CSU East Bay Library,37.6559007,-122.0573481,NA
51650,West Loop Rd & Carlos Bee Blvd,37.6588875,-122.0596312,NA
54478,Whipple Rd & Amaral St,37.6059338,-122.0578705,NA
51003,Whipple Rd & Huntwood Av,37.6061841,-122.0552857,NA
56620,Whipple Rd & Industrial Pkwy Sw,37.6070015,-122.0640448,NA
52201,Whipple Rd & Wiegman Rd,37.6065943,-122.061278,NA
54745,Whitman St & Berry Av,37.6559555,-122.0747083,NA
57454,Whitman St & Berry Av,37.6561873,-122.0746661,NA
51887,Whitman St & Cody Rd,37.6531375,-122.0722754,NA
53250,Whitman St & Cody Rd,37.6529963,-122.0723348,NA
55029,Whitman St & Jane Av,37.6511246,-122.0709122,NA
54489,Whitman St & Jane Av,37.6512789,-122.0708897,NA
54234,Whitman St & Sycamore Av,37.6618596,-122.0791446,NA
59944,Hesperian Blvd & W Winton Av,37.653893,-122.1105584,NA
57009,Tennyson Rd & Oliver Dr,37.6292604,-122.1005962,NA
53819,Meekland Av & A St,37.6670282,-122.0990461,NA
56185,Meekland Av & A St,37.6669499,-122.0991439,NA
57151,Mission Blvd & Industrial Pkwy,37.629229,-122.0467268,NA
55061,Whitman St & Sycamore Av,37.6617113,-122.079252,NA
54412,Tennyson Rd & Oliver Dr,37.6296308,-122.10028,NA
56276,Depot Rd & Clawiter Rd,37.6386848,-122.1200983,NA
50350,Campus Dr & Hayward Blvd,37.6606459,-122.0579639,NA
53711,Gading Rd & Huntwood Way,37.6479101,-122.0812975,NA
54423,Hesperian Blvd & Industrial Blvd,37.6158639,-122.0877279,NA
50238,Chabot College,37.6434062,-122.1050452,NA
50239,Chabot College,37.6432044,-122.1051253,NA
50464,Hesperian Blvd & La Playa Dr,37.647028,-122.1067868,NA
58678,Carter Av & Sycamore St,37.5283575,-122.036972,NA
56376,Carter Av & Sycamore St,37.528068,-122.036882,NA
52224,Cedar Blvd & Balentine Dr (Newark Memorial High),37.5222694,-121.9996284,NA
53112,Cedar Blvd & Balentine Dr,37.5220165,-121.9998588,NA
56186,Cedar Blvd & Birch St,37.527226,-122.008888,NA
52887,Cedar Blvd & Birch St,37.52738,-122.008521,NA
55679,Cedar Blvd & Central Av,37.5368107,-122.0182767,NA
56976,Cedar Blvd & Central Av,37.536673,-122.018541,NA
57116,Cedar Blvd & Chapman Dr,37.549189,-122.0435602,NA
55062,Cedar Blvd & Chapman Dr,37.5496139,-122.0425705,NA
53953,Cedar Blvd & Civic Terrace Av,37.5413198,-122.0248795,NA
57121,Cedar Blvd & Dupont Av,37.546324,-122.0300286,NA
56670,Cedar Blvd & Edgewater Dr,37.5482402,-122.0324105,NA
55063,Cedar Blvd & Edgewater Dr,37.5486627,-122.032673,NA
53887,Cedar Blvd & Forbes Dr,37.5393312,-122.0213784,NA
59511,Cedar Blvd & Joaquin Murieta Av,37.5207729,-121.9962523,NA
57011,Cedar Blvd & Joaquin Murieta Av,37.5202253,-121.9957501,NA
52344,Cedar Blvd & Lake Blvd,37.5503815,-122.0370059,NA
58567,Cedar Blvd & Lake Blvd,37.5503345,-122.0360973,NA
57232,Cedar Blvd & Moores Av,37.531663,-122.00866,NA
51102,Cedar Blvd & Moores Av,37.531542,-122.008008,NA
56268,Cedar Blvd & Mowry Av,37.5250852,-122.0083149,NA
51103,Cedar Blvd & Mowry Av,37.5244128,-122.0073553,NA
53393,Cedar Blvd & Mowry Av,37.525279,-122.008189,NA
55784,Cedar Blvd & Musick Av,37.5449467,-122.0293097,NA
53347,Cedar Blvd & N Magazine,37.5232137,-122.0047018,NA
51158,Cedar Blvd & N Magazine,37.5235996,-122.004832,NA
55347,Cedar Blvd & Newark Blvd,37.5485234,-122.0438268,NA
55069,Cedar Blvd & Port Sailwood Dr,37.54512,-122.029026,NA
56690,Cedar Blvd & Robertson Av,37.535057,-122.014876,NA
50552,Cedar Blvd & S Magazine (Newpark Mall),37.5224162,-122.002168,NA
53301,Cedar Blvd & S Magazine,37.5221193,-122.0018492,NA
56286,Cedar Blvd & Smith Av,37.5336599,-122.0125135,NA
51106,Cedar Blvd & Smith Av,37.533443,-122.011598,NA
52988,Cedar Blvd & Stevenson Blvd,37.5186215,-121.992635,NA
58875,Cedar Blvd & Stevenson Blvd,37.5186332,-121.9921116,NA
51130,Cedar Blvd & Thornton Av,37.5427596,-122.027518,NA
53395,Cedar Blvd & Thornton Av,37.5429421,-122.0272783,NA
53959,Central Av & Birch St,37.5338424,-122.0218397,NA
57540,Central Av & Birch St,37.5337492,-122.021517,NA
57119,Central Av & Cedar Blvd,37.5365798,-122.0196082,NA
51109,Central Av & Cherry St,37.5281699,-122.0264813,NA
