query,lat,lon,lat_min,lat_max,lon_min,lon_max
Fruitvale BART Station (51333) Oakland,37.7757945,-122.2254889,37.7757445,37.7758445,-122.2255389,-122.2254389
San Leandro BART San Leandro,37.7215513,-122.160358,37.7215013,37.7216013,-122.160408,-122.160308
Central to Oakland Oakland,40.441987749999996,-79.95189956447538,40.4419129,40.4420664,-79.9520003,-79.9517982
Point Richmond CA USA,37.9240915,-122.3891383,37.9140915,37.9340915,-122.3991383,-122.3791383
Caller unsure of exact location CA USA,NA,NA,NA,NA,NA,NA
Eastmont Transit Center (58555) Oakland,NA,NA,NA,NA,NA,NA
Ashby BART Berkeley,37.8520696,-122.2705916,37.8520196,37.8521196,-122.2706416,-122.2705416
VA Palo Alto Palo Alto,37.40336165,-122.13312225,37.4028439,37.4035539,-122.1335435,-122.1326183
Grand Av and Weldon Av (55818) Oakland,NA,NA,NA,NA,NA,NA
"2164 Pacific Ave, Alameda, CA 94501,  CA USA",37.76926095,-122.24519523787019,37.7691589,37.769346,-122.245285,-122.2451055
"1539 Walnut St, Alameda, CA 94501,  CA USA",37.7664833,-122.2467028,37.7607361,37.7718816,-122.2506667,-122.2429767
"1429 Broadway, Oakland, CA 94612,  CA USA",37.8052328,-122.2708835,37.8051828,37.8052828,-122.2709335,-122.2708335
"2210 Pacific Ave, Alameda, CA 94501,  CA USA",37.768909750000006,-122.24447766801666,37.7688138,37.7690057,-122.2445779,-122.2443774
4135 Park Blvd Oakland,37.8067796,-122.223924,37.8067296,37.8068296,-122.223974,-122.223874
Broadway at 20th Oakland,NA,NA,NA,NA,NA,NA
W A Street: Hesperian Hayward,NA,NA,NA,NA,NA,NA
Hayward CA USA,37.6688205,-122.080796,37.5478185,37.6899445,-122.2190692,-121.9203973
N/A CA USA,34.2727885,-119.2609533,34.2727385,34.2728385,-119.2610033,-119.2609033
San Leandro BART Station (59857) San Leandro,37.7215513,-122.160358,37.7215013,37.7216013,-122.160408,-122.160308
Oakland Oakland,40.4389972,-79.9557454,40.4289972,40.4489972,-79.9657454,-79.9457454
NA CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
